STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
55,025,001802,55025001802,18.02,Census Tract 18.02,G5020,S,713893.000000000000000,49227.000000000000000,+43.0875040,-089.3747347,0.059373911458933,0.000084360885587
55,025,001200,55025001200,12,Census Tract 12,G5020,S,1817511.000000000000000,44071.000000000000000,+43.0625975,-089.4056146,0.074484286615125,0.000205712229828
55,025,001300,55025001300,13,Census Tract 13,G5020,S,1480602.000000000000000,0.000000000000000,+43.0541472,-089.3915434,0.066332264679029,0.000163589444685
55,025,001102,55025001102,11.02,Census Tract 11.02,G5020,S,1069612.000000000000000,3186.000000000000000,+43.0758230,-089.4094026,0.066589183608278,0.000118572560614
55,025,001606,55025001606,16.06,Census Tract 16.06,G5020,S,421670.000000000000000,0.000000000000000,+43.0701392,-089.3956339,0.031014778341501,0.000046601499999
55,025,001804,55025001804,18.04,Census Tract 18.04,G5020,S,839071.000000000000000,7861.000000000000000,+43.0977240,-089.3658065,0.066425195642525,0.000093630859010
55,025,001101,55025001101,11.01,Census Tract 11.01,G5020,S,668728.000000000000000,0.000000000000000,+43.0705626,-089.4073908,0.037901129542511,0.000073906249206
55,025,001605,55025001605,16.05,Census Tract 16.05,G5020,S,353502.000000000000000,0.000000000000000,+43.0675800,-089.3896342,0.027027876945534,0.000039066162296
55,025,001704,55025001704,17.04,Census Tract 17.04,G5020,S,422109.000000000000000,0.000000000000000,+43.0729164,-089.3860992,0.030206960876080,0.000046652405732
55,025,001901,55025001901,19.01,Census Tract 19.01,G5020,S,1420045.000000000000000,19522.000000000000000,+43.0829576,-089.3656434,0.059300596591600,0.000159128631016
55,025,001707,55025001707,17.07,Census Tract 17.07,G5020,S,182563.000000000000000,0.000000000000000,+43.0790392,-089.3823570,0.019854146120202,0.000020179421743
55,025,001706,55025001706,17.06,Census Tract 17.06,G5020,S,513259.000000000000000,0.000000000000000,+43.0757022,-089.3821026,0.054159087006981,0.000056728946007
55,025,001604,55025001604,16.04,Census Tract 16.04,G5020,S,274805.000000000000000,0.000000000000000,+43.0766250,-089.3922265,0.024863521772851,0.000030373718113
55,025,001603,55025001603,16.03,Census Tract 16.03,G5020,S,175758.000000000000000,0.000000000000000,+43.0734025,-089.3954294,0.025153270969167,0.000019425187614
