Year,Geography,TableID,Field,Value,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,Label
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2610.0,55,025,000402,,55025000402,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5995.0,55,025,000300,,55025000300,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3325.0,55,025,000401,,55025000401,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3284.0,55,025,000202,,55025000202,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,1794.0,55,025,001501,,55025001501,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6152.0,55,025,000600,,55025000600,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6719.0,55,025,001401,,55025001401,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4867.0,55,025,001402,,55025001402,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6523.0,55,025,001900,,55025001900,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4618.0,55,025,002100,,55025002100,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,1877.0,55,025,002500,,55025002500,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3361.0,55,025,010400,,55025010400,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,9155.0,55,025,011102,,55025011102,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6165.0,55,025,011800,,55025011800,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,7070.0,55,025,011900,,55025011900,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4097.0,55,025,012900,,55025012900,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4764.0,55,025,013000,,55025013000,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4850.0,55,025,013100,,55025013100,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3845.0,55,025,000800,,55025000800,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6565.0,55,025,001200,,55025001200,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,9021.0,55,025,001403,,55025001403,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5864.0,55,025,002000,,55025002000,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2203.0,55,025,002601,,55025002601,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5603.0,55,025,002603,,55025002603,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3733.0,55,025,003002,,55025003002,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5337.0,55,025,010600,,55025010600,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,11760.0,55,025,010800,,55025010800,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4121.0,55,025,011000,,55025011000,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4599.0,55,025,012600,,55025012600,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4120.0,55,025,012700,,55025012700,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2789.0,55,025,012100,,55025012100,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2834.0,55,025,003200,,55025003200,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3118.0,55,025,000700,,55025000700,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3970.0,55,025,011504,,55025011504,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3623.0,55,025,010300,,55025010300,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4989.0,55,025,012400,,55025012400,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5055.0,55,025,000205,,55025000205,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2269.0,55,025,002800,,55025002800,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3385.0,55,025,000406,,55025000406,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5702.0,55,025,000407,,55025000407,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6848.0,55,025,000405,,55025000405,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,1949.0,55,025,000408,,55025000408,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2208.0,55,025,000901,,55025000901,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5904.0,55,025,000902,,55025000902,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5090.0,55,025,001101,,55025001101,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3715.0,55,025,001102,,55025001102,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5117.0,55,025,001603,,55025001603,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6224.0,55,025,001604,,55025001604,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3264.0,55,025,001605,,55025001605,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,7704.0,55,025,001606,,55025001606,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3459.0,55,025,002401,,55025002401,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6761.0,55,025,010701,,55025010701,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4150.0,55,025,011700,,55025011700,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,9202.0,55,025,012001,,55025012001,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5610.0,55,025,012300,,55025012300,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5824.0,55,025,000204,,55025000204,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,7026.0,55,025,000503,,55025000503,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,1685.0,55,025,002302,,55025002302,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5502.0,55,025,002602,,55025002602,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3352.0,55,025,002700,,55025002700,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3195.0,55,025,002900,,55025002900,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4875.0,55,025,003001,,55025003001,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2203.0,55,025,010100,,55025010100,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,1345.0,55,025,010200,,55025010200,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,9823.0,55,025,011200,,55025011200,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,9059.0,55,025,011503,,55025011503,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4992.0,55,025,012002,,55025012002,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,8159.0,55,025,012800,,55025012800,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4447.0,55,025,000501,,55025000501,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2131.0,55,025,000201,,55025000201,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,7129.0,55,025,000504,,55025000504,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2539.0,55,025,001300,,55025001300,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4561.0,55,025,001502,,55025001502,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4054.0,55,025,002402,,55025002402,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4838.0,55,025,011101,,55025011101,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6546.0,55,025,011301,,55025011301,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3272.0,55,025,011302,,55025011302,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2034.0,55,025,012201,,55025012201,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3747.0,55,025,001704,,55025001704,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4358.0,55,025,001705,,55025001705,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3169.0,55,025,001802,,55025001802,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3684.0,55,025,001804,,55025001804,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3591.0,55,025,010501,,55025010501,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,8520.0,55,025,010502,,55025010502,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3575.0,55,025,010903,,55025010903,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,9410.0,55,025,010904,,55025010904,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,8932.0,55,025,011401,,55025011401,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,10977.0,55,025,011402,,55025011402,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6726.0,55,025,012501,,55025012501,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5955.0,55,025,012502,,55025012502,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5073.0,55,025,013301,,55025013301,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5938.0,55,025,003100,,55025003100,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2586.0,55,025,000100,,55025000100,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,2598.0,55,025,001000,,55025001000,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4258.0,55,025,002200,,55025002200,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,7924.0,55,025,010702,,55025010702,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,7744.0,55,025,010901,,55025010901,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,4802.0,55,025,011505,,55025011505,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5619.0,55,025,011506,,55025011506,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,7051.0,55,025,011600,,55025011600,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6942.0,55,025,012202,,55025012202,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,9917.0,55,025,013200,,55025013200,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,3263.0,55,025,002301,,55025002301,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,5896.0,55,025,013302,,55025013302,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,6296.0,55,025,013700,,55025013700,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,0.0,55,025,991702,,55025991702,Total Population
2019,All Tracts in Madison City DownTown,B01003,B01003_001E,0.0,55,025,991703,,55025991703,Total Population
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,40.1,55,025,000402,,55025000402,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,34.1,55,025,000300,,55025000300,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,41.2,55,025,000401,,55025000401,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,41.0,55,025,000202,,55025000202,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,38.7,55,025,001501,,55025001501,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,28.3,55,025,000600,,55025000600,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,27.5,55,025,001401,,55025001401,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,32.4,55,025,001402,,55025001402,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,32.4,55,025,001900,,55025001900,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,38.7,55,025,002100,,55025002100,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,34.6,55,025,002500,,55025002500,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,45.9,55,025,010400,,55025010400,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,39.6,55,025,011102,,55025011102,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,38.9,55,025,011800,,55025011800,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,40.5,55,025,011900,,55025011900,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,49.0,55,025,012900,,55025012900,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,39.2,55,025,013000,,55025013000,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,41.4,55,025,013100,,55025013100,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,35.7,55,025,000800,,55025000800,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,24.6,55,025,001200,,55025001200,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,32.4,55,025,001403,,55025001403,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,40.9,55,025,002000,,55025002000,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,32.3,55,025,002601,,55025002601,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,30.9,55,025,002603,,55025002603,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,32.5,55,025,003002,,55025003002,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,52.2,55,025,010600,,55025010600,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,33.5,55,025,010800,,55025010800,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,44.7,55,025,011000,,55025011000,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,44.0,55,025,012600,,55025012600,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,47.2,55,025,012700,,55025012700,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,45.0,55,025,012100,,55025012100,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,29.1,55,025,003200,,55025003200,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,40.0,55,025,000700,,55025000700,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,35.1,55,025,011504,,55025011504,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,41.4,55,025,010300,,55025010300,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,46.9,55,025,012400,,55025012400,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,51.1,55,025,000205,,55025000205,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,43.4,55,025,002800,,55025002800,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,33.3,55,025,000406,,55025000406,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,31.4,55,025,000407,,55025000407,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,30.5,55,025,000405,,55025000405,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,58.9,55,025,000408,,55025000408,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,41.7,55,025,000901,,55025000901,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,24.6,55,025,000902,,55025000902,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,21.2,55,025,001101,,55025001101,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,19.0,55,025,001102,,55025001102,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,21.3,55,025,001603,,55025001603,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,21.7,55,025,001604,,55025001604,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,24.4,55,025,001605,,55025001605,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,20.4,55,025,001606,,55025001606,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,41.5,55,025,002401,,55025002401,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,43.3,55,025,010701,,55025010701,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,44.0,55,025,011700,,55025011700,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,35.9,55,025,012001,,55025012001,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,36.9,55,025,012300,,55025012300,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,31.9,55,025,000204,,55025000204,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,32.0,55,025,000503,,55025000503,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,45.0,55,025,002302,,55025002302,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,33.6,55,025,002602,,55025002602,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,40.8,55,025,002700,,55025002700,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,41.3,55,025,002900,,55025002900,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,43.6,55,025,003001,,55025003001,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,40.5,55,025,010100,,55025010100,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,51.0,55,025,010200,,55025010200,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,46.1,55,025,011200,,55025011200,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,39.4,55,025,011503,,55025011503,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,50.4,55,025,012002,,55025012002,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,37.1,55,025,012800,,55025012800,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,38.8,55,025,000501,,55025000501,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,44.1,55,025,000201,,55025000201,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,33.4,55,025,000504,,55025000504,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,40.2,55,025,001300,,55025001300,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,33.9,55,025,001502,,55025001502,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,33.5,55,025,002402,,55025002402,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,37.0,55,025,011101,,55025011101,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,41.1,55,025,011301,,55025011301,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,41.6,55,025,011302,,55025011302,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,48.2,55,025,012201,,55025012201,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,34.1,55,025,001704,,55025001704,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,26.5,55,025,001705,,55025001705,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,29.9,55,025,001802,,55025001802,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,30.0,55,025,001804,,55025001804,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,34.3,55,025,010501,,55025010501,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,42.1,55,025,010502,,55025010502,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,37.3,55,025,010903,,55025010903,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,42.7,55,025,010904,,55025010904,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,38.1,55,025,011401,,55025011401,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,36.2,55,025,011402,,55025011402,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,42.5,55,025,012501,,55025012501,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,40.0,55,025,012502,,55025012502,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,36.2,55,025,013301,,55025013301,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,41.7,55,025,003100,,55025003100,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,37.6,55,025,000100,,55025000100,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,30.5,55,025,001000,,55025001000,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,39.4,55,025,002200,,55025002200,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,33.1,55,025,010702,,55025010702,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,34.6,55,025,010901,,55025010901,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,33.1,55,025,011505,,55025011505,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,36.2,55,025,011506,,55025011506,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,37.8,55,025,011600,,55025011600,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,42.3,55,025,012202,,55025012202,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,40.8,55,025,013200,,55025013200,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,32.7,55,025,002301,,55025002301,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,37.6,55,025,013302,,55025013302,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,34.9,55,025,013700,,55025013700,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,-666666666.0,55,025,991702,,55025991702,Median Age
2019,All Tracts in Madison City DownTown,B01002,B01002_001E,-666666666.0,55,025,991703,,55025991703,Median Age
2019,All Tracts in Madison City DownTown,B03002,B03002_001E,2610.0,55,025,000402,,55025000402,Total Population (Race Universe)
2019,All Tracts in Madison City DownTown,B03002,B03002_003E,2108.0,55,025,000402,,55025000402,White Alone (Non-Hispanic)
2019,All Tracts in Madison City DownTown,B03002,B03002_004E,97.0,55,025,000402,,55025000402,Black or African American Alone (Non-Hispanic)
